region,country,country.code,rank.intercept,rank.slope,gini,cluster,number.kids,cluster.2
5931,Canada,0,33.19427205,0.259447845,43.98035423,4,805.7949601,2
5933,Canada,0,41.21978244,0.207433433,36.49215455,2,3529.239004,1
5935,Canada,0,40.91729069,0.186688202,39.69101244,2,3649.523703,1
5937,Canada,0,40.37322132,0.172906719,39.80830445,2,2192.184808,1
5939,Canada,0,37.43790633,0.258835197,36.73857138,2,1392.384956,2
5941,Canada,0,41.24579378,0.288129704,39.24152835,2,1934.843459,1
5943,Canada,0,30.22931005,0.388270201,39.6748843,,388.5285518,
5945,Canada,0,14.66188162,0.540457482,,,82.43482459,
5947,Canada,0,27.19681789,0.433213323,40.1128762,,580.045671,
5949,Canada,0,30.64678792,0.406846647,37.3957333,4,1168.355646,2
5951,Canada,0,37.16380068,0.306819284,39.59894787,4,1455.571949,2
5953,Canada,0,39.96495212,0.238653007,35.52266954,2,3068.719827,1
5955,Canada,0,46.56147893,0.259599022,41.04007471,1,1712.517861,1
5957,Canada,0,58.60536361,-0.190294287,,,24.62234747,
5959,Canada,0,47.8660736,0.175039673,35.57405329,,213.5682528,
6001,Canada,0,42.97085992,0.142112231,37.74543995,2,827.1556559,1
6104,Canada,0,39.19991671,0.076684601,43.4727246,2,399.9661647,1
6105,Canada,0,26.04090377,0.537466774,44.61528107,,228.6008778,
6106,Canada,0,41.20543171,0.224521874,41.14528885,2,893.1486398,1
6107,Canada,0,27.64759246,0.363002882,41.90694781,,274.8530622,
6108,Canada,0,20.79624721,0.423547555,,,109.6628923,
100,United States,1,29.09500104,0.371699989,46.80399895,4,18494,2
200,United States,1,28.87400231,0.356110007,43.45900118,4,7760,2
301,United States,1,29.66000158,0.375569999,44.09500062,4,2217,2
302,United States,1,28.52799723,0.372530013,50.83199739,4,23805,2
401,United States,1,27.24099982,0.389129996,46.55300081,4,16103,2
402,United States,1,26.73100019,0.42256999,44.44800019,4,3269,2
500,United States,1,26.5969992,0.395209998,52.35800147,4,33788,2
601,United States,1,28.622998,0.388859987,44.60299909,4,2958,2
602,United States,1,30.47599939,0.413480014,35.62099934,4,1877,2
700,United States,1,26.29599845,0.404399991,47.13000059,4,12280,2
800,United States,1,25.02700025,0.416289985,41.50600135,4,14684,2
900,United States,1,25.90899885,0.397040009,51.62400007,3,47059,2
1001,United States,1,32.41200009,0.30419001,48.71099889,4,2056,2
1002,United States,1,28.23100051,0.372790009,35.08000076,4,5190,2
1100,United States,1,25.17899927,0.415100008,43.48799884,4,12536,2
1201,United States,1,32.79399893,0.337760001,51.602,4,1305,2
1202,United States,1,33.29300046,0.291970015,40.40000141,2,1700,2
1203,United States,1,31.02900079,0.319359988,46.14300132,4,12197,2
1204,United States,1,33.2239987,0.304349989,84.73299742,3,1833,2
1301,United States,1,24.66100031,0.41049999,45.51700056,4,3040,2
1302,United States,1,26.0690017,0.39379999,55.17399907,4,21210,2
1400,United States,1,25.41599783,0.374359995,46.27999961,4,24241,2
1500,United States,1,27.20299935,0.346379995,52.32099891,4,11650,2
1600,United States,1,24.25600138,0.431300014,51.40200257,4,8483,2
1701,United States,1,27.19500077,0.389490008,50.85999966,3,41170,2
1702,United States,1,22.86100104,0.424360007,49.63000119,4,2303,2
1800,United States,1,27.72800106,0.395669997,45.73299885,4,7655,2
1900,United States,1,27.6389983,0.382750005,46.44500017,4,18199,2
2000,United States,1,28.32999983,0.383890003,45.11199892,4,41448,2
2100,United States,1,28.09899864,0.376289994,47.53800035,4,4654,2
2200,United States,1,26.99399856,0.439799994,40.84199965,4,5459,2
2300,United States,1,29.32000035,0.396899998,41.90900028,4,7681,2
2400,United States,1,27.86100003,0.400429994,46.06699944,3,36657,2
2500,United States,1,28.05700168,0.39982,42.17399955,4,20764,2
2600,United States,1,24.06500009,0.460869998,44.15099919,4,5719,2
2700,United States,1,30.79199988,0.34167999,46.46899998,4,17850,2
2800,United States,1,29.16399983,0.43610999,51.11399889,4,4923,2
2900,United States,1,29.6540004,0.389490008,50.93600154,4,6668,2
3001,United States,1,25.14699835,0.488009989,53.91700268,4,2111,2
3002,United States,1,22.10800207,0.507629991,60.473001,4,1967,2
3003,United States,1,25.8740015,0.419939995,60.49500108,4,23204,2
3101,United States,1,28.6629999,0.438219994,50.45700073,4,4816,2
3102,United States,1,29.89099774,0.423530012,56.85200095,4,2149,2
3201,United States,1,37.57899916,0.440389991,38.94799948,4,1189,2
3202,United States,1,27.84199849,0.437260002,55.35699725,4,3351,2
3203,United States,1,24.84799922,0.419330001,54.67699766,4,3946,2
3300,United States,1,28.25999859,0.396789998,58.29700232,4,57774,2
3400,United States,1,33.95699888,0.400680006,48.61499965,4,12869,2
3500,United States,1,29.15700239,0.405499995,51.4680028,4,34182,2
3600,United States,1,29.9629977,0.404159993,54.59499955,4,8393,2
3700,United States,1,34.0659996,0.339769989,44.24299896,2,14710,2
3800,United States,1,33.65800273,0.38124001,54.71900105,4,24639,2
3901,United States,1,27.52099976,0.414739996,57.08199739,4,11387,2
3902,United States,1,27.84400022,0.507300019,46.05700076,4,1045,2
4001,United States,1,28.08799851,0.418969989,44.61300075,4,1451,2
4002,United States,1,27.25999948,0.435030013,53.52699757,4,21664,2
4003,United States,1,29.56399918,0.431529999,51.06300116,4,3003,2
4004,United States,1,36.22900078,0.413260013,43.82399917,4,982,2
4101,United States,1,28.8959991,0.386869997,43.97700131,4,1108,2
4102,United States,1,25.98400289,0.426129997,45.35099864,4,7303,2
4103,United States,1,26.63600236,0.437720001,44.88399923,4,3942,2
4200,United States,1,28.16300178,0.393079996,48.42000008,4,24072,2
4301,United States,1,29.86499968,0.398629993,44.50300038,4,1771,2
4302,United States,1,32.00699955,0.372240007,43.44399869,4,3694,2
4401,United States,1,30.16499728,0.357219994,51.09699965,4,4974,2
4402,United States,1,30.14599869,0.348289996,42.26399958,4,3623,2
4501,United States,1,29.90800124,0.341509998,50.78799725,4,1613,2
