census.division.name,CD86,native.reserve,province.name,province,census.division,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
Riviere-du-Loup,2408,0,QC,24,2408,1328,1913,0.232,0.021,36.2,1.06,0.062,26106,0.396,0.506,34412,37874,17377,24048,28230,34026,43483,47538,65660,64645,139278,107918,0.999,0.983,0.198,0.202,0.015,-0.001,0.0003,8.84,0.148,0.151,0.0146
Temiscouata,2409,0,QC,24,2409,619,1104,0.228,0.032,36.2,1.29,0.044,18265,0.379,0.476,25695,35368,14051,21834,21937,32387,32317,46365,47645,58232,105083,99674,1.000,0.995,0.178,0.234,0.020,-0.002,0.0005,8.89,0.185,0.145,0.0187
Kamouraska,2410,0,QC,24,2410,812,1408,0.238,0.026,34.0,1.15,0.055,21727,0.394,0.478,28140,34478,13944,21079,23534,31786,35670,45475,51965,58602,103674,92497,0.998,0.990,0.167,0.247,0.018,-0.001,0.0004,8.40,0.174,0.189,0.0175
Charlevoix-Est,2411,0,QC,24,2411,695,1128,0.229,0.027,33.9,1.27,0.062,23928,0.386,0.510,30812,34828,15657,22394,26213,32308,39586,44136,59568,55581,103891,96191,1.000,0.991,0.188,0.280,0.020,-0.002,0.0004,8.75,0.173,0.156,0.0172
Charlevoix-Ouest,2412,0,QC,24,2412,473,800,0.155,0.035,39.6,1.50,0.025,20722,0.384,0.488,27570,36019,14410,23608,23371,34103,35133,47047,50722,57183,105055,91626,0.998,0.992,0.197,0.218,0.022,-0.002,0.0005,9.24,0.212,0.112,0.0214
L'Islet,2413,0,QC,24,2413,702,1229,0.225,0.029,36.0,1.09,0.048,18888,0.393,0.464,23453,34232,12038,23042,21461,32444,30926,43785,44401,54413,84485,84288,0.999,0.994,0.177,0.201,0.018,-0.001,0.0005,9.41,0.145,0.092,0.0149
Montmagny,2414,0,QC,24,2414,1072,1578,0.244,0.023,38.8,1.05,0.069,22862,0.401,0.481,29573,39700,15313,25487,25260,35831,38175,47975,57105,61520,107014,130488,1.000,0.988,0.158,0.209,0.015,-0.002,0.0003,8.98,0.133,0.147,0.0133
Bellechasse,2415,0,QC,24,2415,877,1455,0.154,0.025,43.1,1.15,0.026,21567,0.377,0.506,30297,39238,16749,26465,25180,36743,38316,47930,57615,63319,113638,113526,1.000,0.992,0.166,0.160,0.016,-0.001,0.0003,9.50,0.151,0.094,0.0150
Montmorency No. 2,2416,0,QC,24,2416,260,406,0.133,0.046,42.1,2.47,0.021,25113,0.380,0.559,37842,39333,20630,24507,31064,36180,45743,49258,75201,62171,123615,117250,0.996,0.977,0.177,0.201,0.035,-0.001,0.0006,9.09,0.350,0.129,0.0340
Montmorency No. 1,2417,0,QC,24,2417,959,1539,0.182,0.024,38.6,1.28,0.036,25517,0.372,0.548,36318,37975,19795,23865,31057,35276,45312,47694,66685,62015,136375,114717,1.000,0.991,0.248,0.237,0.019,-0.002,0.0004,9.01,0.188,0.134,0.0183
Quebec,2420,1,QC,24,2420,18994,24094,0.247,0.006,35.9,0.36,0.072,36481,0.394,0.465,46072,41253,23508,24010,38236,37030,59988,51692,88895,69006,172473,140460,0.994,0.979,0.266,0.275,0.005,-0.002,0.0001,8.66,0.044,0.169,0.0042
Levis,2421,0,QC,24,2421,3801,5168,0.158,0.013,41.7,0.76,0.029,29685,0.359,0.528,42450,41665,24288,26159,36295,37328,53972,50773,77930,65997,159562,138860,0.998,0.987,0.225,0.176,0.010,-0.001,0.0002,9.28,0.101,0.113,0.0097
Dorchester,2422,0,QC,24,2422,1336,2182,0.176,0.021,39.1,0.94,0.031,20301,0.352,0.554,28809,36904,16605,24842,26293,34422,36907,45527,51110,59112,96449,100775,0.997,0.995,0.156,0.185,0.014,-0.001,0.0003,9.52,0.136,0.085,0.0135
Beauce,2423,0,QC,24,2423,2972,4350,0.209,0.014,39.1,0.67,0.046,22042,0.387,0.517,30786,38347,16174,24376,26031,35049,38217,47287,56578,61764,120298,114278,0.999,0.990,0.197,0.177,0.009,-0.001,0.0002,9.44,0.094,0.095,0.0094
Frontenac,2424,0,QC,24,2424,930,1437,0.229,0.026,36.4,1.13,0.050,19881,0.350,0.550,27751,36264,15488,24227,24577,33124,35368,44779,46909,57650,105048,99908,0.999,0.996,0.166,0.177,0.017,-0.001,0.0004,9.43,0.170,0.093,0.0170
Compton,2425,0,QC,24,2425,634,1067,0.243,0.030,34.8,1.29,0.060,23601,0.392,0.450,27007,35184,13035,21844,23102,31965,36636,45308,52296,59069,104241,94979,0.920,0.918,0.215,0.281,0.020,-0.003,0.0005,8.81,0.178,0.152,0.0180
Wolfe,2426,0,QC,24,2426,498,822,0.244,0.036,32.4,1.57,0.054,20803,0.362,0.542,28301,34133,15720,19887,24340,30793,36523,43752,50799,56382,101853,106381,0.990,0.998,0.151,0.338,0.027,-0.002,0.0006,8.73,0.242,0.153,0.0242
Megantic,2427,0,QC,24,2427,2306,3310,0.212,0.017,39.0,0.86,0.046,24824,0.355,0.548,34306,39922,19014,25095,29757,36020,43838,49239,62539,64756,116502,123737,0.994,0.984,0.163,0.202,0.012,-0.001,0.0002,9.19,0.126,0.121,0.0124
Lotbiniere,2428,0,QC,24,2428,1258,2047,0.198,0.021,37.5,0.96,0.040,19329,0.353,0.521,29363,36161,16751,23686,24813,34500,36080,44723,55518,57500,95019,96455,0.998,0.992,0.157,0.209,0.014,-0.002,0.0003,9.11,0.157,0.123,0.0156
Portneuf,2429,0,QC,24,2429,2244,3469,0.197,0.016,39.5,0.81,0.043,24350,0.357,0.543,33520,38957,18764,25125,29627,36020,43114,48689,62519,61585,108879,109973,0.994,0.974,0.198,0.183,0.011,-0.001,0.0002,9.12,0.114,0.128,0.0112
Champlain,2432,1,QC,24,2432,4470,6243,0.203,0.012,35.9,0.65,0.045,28890,0.364,0.514,36756,37268,19917,21350,32044,33808,48807,48490,70390,62501,116497,110669,0.997,0.987,0.221,0.278,0.010,-0.002,0.0002,8.81,0.089,0.149,0.0086
Nicolet,2433,1,QC,24,2433,1130,1861,0.215,0.022,36.3,1.09,0.047,24238,0.370,0.504,31225,37158,16583,21810,26654,34098,40821,46669,58515,61303,106011,138231,0.999,0.989,0.173,0.220,0.016,-0.001,0.0003,8.98,0.168,0.135,0.0166
Arthabaska,2434,0,QC,24,2434,2676,3779,0.179,0.015,38.8,0.79,0.035,23568,0.364,0.561,34749,37878,19514,24343,29348,34287,43083,47529,64532,62378,142665,111096,0.999,0.991,0.185,0.221,0.011,-0.001,0.0002,9.14,0.114,0.122,0.0112
Richmond,2435,0,QC,24,2435,1407,2112,0.164,0.021,39.6,1.09,0.029,25876,0.350,0.532,34329,37803,19026,24129,30877,34562,44902,48259,63792,63312,106572,101809,0.965,0.955,0.206,0.241,0.016,-0.001,0.0003,9.39,0.144,0.098,0.0141
Sherbrooke,2436,0,QC,24,2436,4294,5718,0.237,0.012,37.6,0.70,0.062,29863,0.380,0.520,39941,40571,21351,24511,34189,36732,51214,51901,75273,68039,154081,121438,0.952,0.936,0.293,0.250,0.010,-0.002,0.0002,8.98,0.093,0.140,0.0091
Stanstead,2437,0,QC,24,2437,1559,2157,0.192,0.021,37.1,1.08,0.036,21992,0.337,0.593,33214,38196,19784,23757,30182,34096,41776,46343,59008,61027,111258,160162,0.926,0.917,0.228,0.209,0.016,-0.001,0.0003,9.20,0.156,0.114,0.0153
Brome,2438,0,QC,24,2438,499,793,0.314,0.033,29.3,1.65,0.102,24054,0.367,0.535,33202,35100,17552,20998,28269,32756,41606,43846,61120,58800,120484,107568,0.772,0.741,0.216,0.277,0.027,-0.002,0.0005,8.79,0.256,0.148,0.0252
Shefford,2439,0,QC,24,2439,2722,3855,0.228,0.015,37.4,0.78,0.055,24433,0.363,0.547,33647,38624,18431,23728,29579,35872,42864,48560,63124,62065,116555,125597,0.974,0.968,0.207,0.209,0.011,-0.001,0.0002,8.91,0.108,0.146,0.0106
