census.subdivision,census.division,province.name,province,CSD1986_ID,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
339,1,NL,10,1001339,346,607,0.24,0.075,36.2,1.97,0.017,9611,0.28,0.347,19000,40705,13166,23474,18106,35748,22777,53403,30208,71820,51023,102289,0.003,0,0.185,0.305,0.032,-0.004,0.001,10,0.392,0.048,0.04
343,1,NL,10,1001343,57,97,-0.232,0.179,46.2,5.15,0.017,11907,0.231,0.561,20991,39403,14367,26297,21504,35714,26274,46433,32568,73997,43217,92926,0,0,0.105,0.142,0.077,0,0.003,11.3,0.808,-0.081,0.082
347,1,NL,10,1001347,71,115,0.535,0.131,30.4,4.63,0.129,7566,0.257,0.427,24358,47487,17716,23720,21242,40756,25281,60030,40302,83824,68309,161143,0,0,0.211,0.418,0.073,-0.006,0.002,7.2,1.147,0.335,0.115
352,1,NL,10,1001352,45,72,0.134,0.122,35.3,4.07,0.017,11866,0.284,0.341,22535,37779,14253,25120,18585,33369,26119,46737,40170,59585,81575,88374,0,0,0.2,0.248,0.084,-0.001,0.003,9.7,1.017,0.072,0.103
357,1,NL,10,1001357,66,101,0.289,0.094,31.7,4.1,0.087,21699,0.459,0.364,29231,41805,13432,24534,20881,33446,35131,56865,58485,74051,175502,114102,0,0,0.303,0.42,0.062,-0.006,0.001,9.2,0.648,0.127,0.066
361,1,NL,10,1001361,95,147,0.139,0.121,37.6,4.65,0.009,14574,0.262,0.623,26852,42609,18357,23049,24421,33114,32931,58887,41266,74658,76448,122783,0,0,0.189,0.228,0.073,0,0.002,10.2,0.871,0.023,0.087
365,1,NL,10,1001365,170,275,0.553,0.076,22.7,2.57,0.163,16027,0.312,0.433,22515,38171,14000,20864,19098,31266,30027,48737,38326,76213,72015,105430,0,0,0.247,0.463,0.048,-0.006,0.001,6.1,0.541,0.429,0.055
370,1,NL,10,1001370,443,682,0.3,0.047,33.9,1.84,0.056,16870,0.331,0.533,26419,43853,15700,23148,24067,40316,32570,56173,43466,76063,83130,132006,0,0.005,0.201,0.237,0.029,-0.001,0.001,8.2,0.342,0.232,0.034
374,1,NL,10,1001374,80,120,-0.173,0.121,50.5,4.61,0.017,14880,0.28,0.536,26044,43341,16893,27873,24818,42118,31773,54757,41468,76881,53858,101758,0,0,0.263,0.091,0.069,0.003,0.002,11.6,1.012,-0.109,0.101
375,1,NL,10,1001375,37,64,0.173,0.202,45.3,6.46,0.012,15313,0.262,0.589,22313,47352,13556,29878,22514,47426,28869,62905,35680,75253,42714,125145,0,0,0.108,0.01,0.084,0.004,0.003,10.9,0.932,-0.028,0.095
377,1,NL,10,1001377,257,385,0.343,0.053,34.1,2.21,0.1,20600,0.436,0.393,27464,44377,13185,23342,20772,40633,33785,60783,54363,82332,131958,121432,0,0,0.214,0.277,0.033,-0.002,0.001,8.6,0.358,0.187,0.036
381,1,NL,10,1001381,46,71,0.405,0.214,31,7.24,0.05,14490,0.269,0.512,23156,46936,17583,21555,21842,32159,32072,56839,36910,84535,46360,295467,0,0,0.152,0.268,0.108,0,0.003,6.7,1.203,0.379,0.122
385,1,NL,10,1001385,231,359,0.196,0.086,37.4,2.79,0.014,11612,0.278,0.491,22306,42382,16208,22798,21691,38469,27820,56906,34421,78256,56806,135906,0,0,0.165,0.266,0.042,-0.002,0.001,9.6,0.459,0.085,0.047
394,1,NL,10,1001394,19,32,0.442,0.347,21.5,8.7,0.052,14158,0.328,0.402,17159,31840,10619,15893,18177,21907,24777,41921,26438,62369,55965,108005,0,0,0.158,0.391,0.156,0.003,0.006,6.6,2.022,0.362,0.212
397,1,NL,10,1001397,66,107,0.258,0.138,33,4.47,0.032,18342,0.377,0.424,20669,39225,9201,17442,19730,31977,27542,56579,40263,72916,84219,119841,0,0,0.242,0.291,0.072,-0.001,0.002,9.2,0.703,0.114,0.073
399,1,NL,10,1001399,213,337,0.346,0.071,31.2,2.41,0.067,15731,0.347,0.45,22108,40804,11961,21591,20572,34214,27692,55603,39486,74602,71956,111855,0.009,0,0.155,0.343,0.038,-0.004,0.001,8.8,0.41,0.167,0.042
405,1,NL,10,1001405,77,121,0.361,0.136,23.6,3.4,0.056,15338,0.358,0.268,16605,31464,5999,17569,17088,26342,21337,36472,29795,59107,59004,106667,0.013,0,0.169,0.418,0.071,-0.005,0.003,8.7,0.579,0.157,0.061
409,1,NL,10,1001409,415,653,0.285,0.04,34.1,1.74,0.074,19031,0.372,0.483,28972,44570,16273,25736,23388,39921,35303,58454,54195,76292,109829,159419,0.002,0,0.205,0.32,0.028,-0.003,0.001,9,0.31,0.152,0.031
415,1,NL,10,1001415,110,172,0.14,0.081,40.7,3.42,0.017,19741,0.335,0.502,27615,44043,16078,27450,23445,39693,35818,57937,51012,72346,93466,105003,0,0,0.245,0.168,0.055,0.001,0.001,10.5,0.608,0.001,0.061
421,1,NL,10,1001421,70,111,0.485,0.136,23.2,4.13,0.105,14737,0.313,0.434,21003,35409,12860,15704,20532,31345,27597,49266,35274,56605,103352,132074,0,0,0.214,0.529,0.083,-0.006,0.003,7.7,0.804,0.265,0.083
426,1,NL,10,1001426,33,57,-0.007,0.159,38.4,6.08,0,12603,0.333,0.386,24624,36445,16236,15574,21125,34556,28839,58550,53565,66340,61568,77136,0,0,0.242,0.279,0.111,0.003,0.003,9,1.022,0.136,0.103
429,1,NL,10,1001429,98,150,0.411,0.096,29.5,3.61,0.109,20929,0.414,0.455,24471,44043,10640,20245,21506,34898,31569,59935,42297,77411,111694,170361,0,0.01,0.173,0.418,0.059,-0.004,0.002,8.2,0.606,0.228,0.062
434,1,NL,10,1001434,41,64,0.097,0.162,42.8,6.34,0.006,15339,0.314,0.592,25609,56269,16967,20312,23729,43844,32307,60580,41594,66806,68480,523436,0,0,0.195,0.315,0.106,-0.001,0.003,9.8,1.137,0.07,0.115
437,1,NL,10,1001437,84,127,0.145,0.104,35.6,4.49,0.015,22307,0.356,0.554,28037,40344,13488,19738,27351,37611,35794,55677,48827,78838,74158,108276,0,0,0.286,0.368,0.072,-0.002,0.002,8.6,0.871,0.168,0.087
441,1,NL,10,1001441,37,67,0.305,0.168,28.4,4.36,0.048,15636,0.401,0.263,16431,33839,6882,19320,13304,32231,22518,45725,31830,59046,78019,87360,0,0,0.405,0.488,0.092,-0.005,0.004,8.3,0.788,0.205,0.084
446,1,NL,10,1001446,110,172,0.348,0.097,31.4,3.48,0.07,15779,0.373,0.358,23853,43447,13438,19612,20227,37610,29217,56010,38653,79148,125422,170742,0,0,0.136,0.34,0.055,-0.003,0.002,8,0.927,0.234,0.094
452,1,NL,10,1001452,112,196,-0.037,0.094,30.8,2.65,0.001,16538,0.385,0.356,18161,30037,8795,14850,15947,26095,25332,40436,31990,54042,70192,84120,0,0,0.295,0.421,0.056,-0.002,0.002,10.6,0.519,-0.055,0.055
456,1,NL,10,1001456,83,137,0.212,0.118,36.9,4.24,0.023,19028,0.36,0.404,22807,43777,11799,19551,20530,34488,30828,62326,40853,85526,68346,151139,0,0,0.361,0.332,0.066,-0.001,0.002,9.5,0.758,0.094,0.078
461,1,NL,10,1001461,97,154,0.124,0.106,44.1,3.67,0.009,15752,0.351,0.336,22172,45816,11944,28151,19280,43974,27695,62491,40581,80028,70923,165406,0,0,0.299,0.282,0.058,-0.001,0.002,10.2,0.821,0.026,0.084
464,1,NL,10,1001464,86,138,0.24,0.122,49,4.28,0.028,16364,0.36,0.461,21966,59762,12715,28340,21437,53782,29079,77121,44506,107857,55732,275387,0,0.012,0.244,0.255,0.055,-0.002,0.002,10.6,0.712,0.009,0.073
469,1,NL,10,1001469,161,264,0.193,0.078,43.5,3.07,0.023,14576,0.311,0.58,26457,49770,17192,31323,24797,45005,31768,60634,43170,78570,91706,173999,0,0,0.236,0.242,0.043,-0.002,0.001,10,0.535,0.058,0.054
472,1,NL,10,1001472,132,204,0.171,0.073,44,3.87,0.027,26518,0.355,0.509,36624,51468,20080,26255,28648,49233,46599,67111,74585,85623,110502,159338,0.008,0.008,0.205,0.313,0.051,-0.003,0.001,9,0.718,0.154,0.07
485,1,NL,10,1001485,1332,1908,0.218,0.023,37.3,1.11,0.044,23480,0.358,0.529,32097,46881,17192,26813,28049,40553,40672,57723,56824,80237,109878,184477,0.002,0.005,0.225,0.255,0.016,-0.002,0,9,0.195,0.155,0.019
490,1,NL,10,1001490,34,61,0.32,0.22,29.8,5.92,0.035,21402,0.44,0.284,16402,53609,7059,11206,9948,29273,28460,46287,32239,93067,83886,569016,0,0,0.206,0.402,0.093,-0.003,0.003,7.3,1.137,0.311,0.122
494,1,NL,10,1001494,308,519,0.313,0.059,27.9,1.59,0.051,16527,0.473,0.232,15244,33865,5066,14988,10806,28042,21593,48749,34653,65647,65228,100565,0,0,0.299,0.429,0.029,-0.004,0.001,9.1,0.296,0.112,0.032
